_Range(71, 97), _Range(71, 72): T
_Range(60, 97), _Range(20, 95): T
_Range(20, 59), _Range(58, 59): T
_Range(24, 83), _Range(3, 82): T
_Range(48, 96), _Range(33, 47): F
_Range(49, 49), _Range(10, 50): F
_Range(48, 86), _Range(6, 85): T
_Range(71, 72), _Range(27, 72): T
_Range(46, 83), _Range(29, 84): F
_Range(10, 52), _Range(1, 53): F
_Range(38, 84), _Range(37, 39): T
_Range(48, 48), _Range(39, 48): T
_Range(42, 87), _Range(43, 96): T
_Range(1, 99), _Range(78, 98): T
_Range(23, 39), _Range(1, 38): T
_Range(30, 30), _Range(13, 30): T
_Range(8, 37), _Range(7, 38): F
_Range(13, 85), _Range(57, 84): T
_Range(1, 97), _Range(2, 98): T
_Range(7, 99), _Range(6, 98): T
_Range(14, 99), _Range(13, 91): T
_Range(2, 87), _Range(8, 88): T
_Range(51, 66), _Range(66, 66): T
_Range(66, 98), _Range(97, 98): T
_Range(41, 73), _Range(84, 85): F
_Range(37, 95), _Range(36, 94): T
_Range(4, 22), _Range(11, 38): T
_Range(25, 90), _Range(25, 50): T
_Range(50, 97), _Range(51, 89): T
_Range(10, 86), _Range(9, 86): T
_Range(78, 93), _Range(56, 77): F
_Range(56, 84), _Range(56, 79): T
_Range(43, 48), _Range(43, 49): T
_Range(43, 96), _Range(98, 98): F
_Range(66, 76), _Range(59, 68): T
_Range(12, 15), _Range(11, 59): F
_Range(3, 85), _Range(12, 84): T
_Range(50, 74), _Range(50, 75): T
_Range(1, 7), _Range(2, 6): T
_Range(10, 11), _Range(11, 58): T
_Range(15, 96), _Range(16, 99): T
_Range(20, 87), _Range(23, 88): T
_Range(39, 79), _Range(39, 78): T
_Range(96, 98), _Range(7, 97): T
_Range(14, 74), _Range(13, 14): T
_Range(3, 99), _Range(98, 99): T
_Range(43, 47), _Range(43, 62): T
_Range(79, 83), _Range(75, 84): F
_Range(10, 13), _Range(15, 15): F
_Range(8, 91), _Range(8, 9): T
_Range(68, 74), _Range(47, 97): F
_Range(74, 88), _Range(75, 79): T
_Range(48, 97), _Range(49, 97): T
